# 925 nm PL_38 Chip Heater Calibration Heater 10 in 1 channel phi1 = pi, phi2, phi3 = 0 (6 heater = 820)
# Chip Num PL 38 Down Structure
# Heater No = 10
# Current from = 0
# Current step = 10
# Current to   = 1300
# sleeptime (ms) = 1000
# Input mode= 2
# Temp Room_ = 21
# Temp Chip_ = 20
# Date 2023-03-28 15:11:06
#Current  diode_1  diode_2  diode_3  diode_4 
       0   302.70    35.35   319.74   156.63 
      10   302.95    35.08   320.49   156.63 
      20   302.50    34.85   320.74   156.63 
      30   302.65    34.48   321.85   156.23 
      40   302.05    33.98   322.84   156.18 
      50   302.65    33.26   323.93   155.48 
      60   302.32    32.40   325.14   154.74 
      70   302.26    31.54   325.79   154.03 
      80   302.83    30.63   329.32   153.20 
      90   302.43    29.46   331.43   152.44 
     100   303.35    28.14   331.29   151.68 
     110   302.55    26.77   333.64   150.79 
     120   302.88    25.38   337.02   149.77 
     130   303.15    24.00   340.06   149.01 
     140   303.00    22.48   341.56   147.60 
     150   302.50    20.93   345.27   146.72 
     160   302.48    19.43   347.81   145.57 
     170   301.73    17.92   352.48   144.43 
     180   302.19    16.42   356.56   143.29 
     190   301.51    14.91   359.71   141.77 
     200   300.17    13.52   361.86   140.62 
     210   299.52    12.20   366.68   139.41 
     220   299.29    10.97   370.68   137.96 
     230   298.56     9.91   374.23   136.81 
     240   296.90     8.96   376.27   135.32 
     250   295.89     8.24   378.96   134.69 
     260   295.42     7.83   382.30   133.84 
     270   293.04     7.49   382.48   133.00 
     280   290.94     7.41   386.52   132.06 
     290   289.50     7.64   390.57   131.48 
     300   286.62     8.17   392.61   131.10 
     310   284.60     9.01   396.43   130.35 
     320   282.08    10.20   396.64   130.33 
     330   278.46    11.66   398.66   130.12 
     340   275.16    13.65   400.45   130.41 
     350   272.23    16.04   400.77   130.80 
     360   267.73    18.93   400.70   131.48 
     370   263.76    22.10   401.32   131.87 
     380   258.21    25.92   400.68   133.38 
     390   253.47    30.20   398.82   134.63 
     400   248.09    34.85   398.66   135.67 
     410   242.34    40.22   395.21   137.57 
     420   236.18    46.07   391.37   139.49 
     430   229.73    52.58   387.95   142.18 
     440   222.61    59.51   381.47   145.20 
     450   215.26    66.69   377.99   149.16 
     460   204.60    74.15   374.25   152.09 
     470   191.90    82.50   368.20   155.48 
     480   186.24    91.46   359.55   160.39 
     490   177.76   100.99   351.17   165.10 
     500   172.06   111.87   338.05   175.26 
     510   166.33   123.53   323.76   185.23 
     520   158.75   134.76   309.59   194.65 
     530   151.97   146.96   293.53   205.53 
     540   143.99   157.85   279.36   215.45 
     550   137.17   170.43   263.07   228.30 
     560   130.72   182.18   250.05   241.12 
     570   127.05   194.98   229.69   255.96 
     580   119.71   205.01   212.86   269.01 
     590   112.04   213.90   197.23   282.06 
     600   107.78   225.14   179.02   298.12 
     610    95.92   230.71   166.49   305.27 
     620    95.17   240.27   146.69   326.41 
     630    90.74   247.34   130.41   341.67 
     640    85.28   252.01   115.83   355.64 
     650    80.65   256.10   101.82   369.61 
     660    76.49   258.94    88.79   383.77 
     670    72.69   259.64    76.59   397.63 
     680    68.57   258.42    66.68   408.79 
     690    65.11   254.85    58.49   419.86 
     700    62.45   252.49    52.77   431.09 
     710    60.36   248.10    49.74   441.25 
     720    58.32   242.37    48.83   447.23 
     730    57.13   235.82    49.93   453.30 
     740    55.76   228.45    53.76   455.80 
     750    55.34   221.51    59.80   458.79 
     760    54.80   213.17    67.62   457.40 
     770    54.97   206.48    79.04   456.23 
     780    54.74   198.09    93.21   451.30 
     790    55.22   190.52   108.95   445.20 
     800    55.64   183.10   126.78   436.78 
     810    56.06   175.81   146.75   424.97 
     820    57.16   169.35   168.42   412.78 
     830    58.30   163.75   191.58   396.73 
     840    59.30   158.81   214.74   378.41 
     850    60.19   155.05   238.24   356.16 
     860    61.07   153.84   260.78   331.89 
     870    62.34   155.59   283.80   306.16 
     880    64.17   160.67   302.60   280.59 
     890    66.00   168.94   318.70   255.09 
     900    68.18   180.63   331.31   228.77 
     910    70.81   195.72   340.50   202.52 
     920    74.10   213.13   346.03   177.75 
     930    77.84   231.56   348.24   154.03 
     940    82.21   250.88   348.33   131.08 
     950    87.38   270.18   344.38   110.55 
     960    93.17   288.66   338.01    91.24 
     970    99.00   308.27   328.37    73.96 
     980   105.74   327.00   314.83    59.83 
     990   113.18   344.45   297.15    49.25 
    1000   120.65   362.54   276.60    41.28 
    1010   128.23   378.83   254.02    37.02 
    1020   135.82   391.90   231.95    36.14 
    1030   143.94   404.80   211.31    37.98 
    1040   151.61   414.85   193.95    41.91 
    1050   159.06   419.44   179.25    47.02 
    1060   166.48   419.35   169.21    52.93 
    1070   173.00   414.16   163.88    59.72 
    1080   178.48   400.69   163.72    66.05 
    1090   181.96   380.45   169.21    73.07 
    1100   182.85   354.22   180.46    79.65 
    1110   181.42   325.81   197.62    85.36 
    1120   178.72   296.36   221.71    89.26 
    1130   175.48   265.10   253.74    91.42 
    1140   171.26   239.21   290.52    90.71 
    1150   167.92   210.38   333.34    87.76 
    1160   164.01   182.16   379.71    82.32 
    1170   160.61   154.38   426.99    74.95 
    1180   156.85   126.22   479.18    65.15 
    1190   153.53    99.46   528.38    53.73 
    1200   150.74    74.99   572.70    42.81 
    1210   149.39    54.11   609.12    31.60 
    1220   149.01    37.49   637.45    21.74 
    1230   151.29    24.40   654.47    14.42 
    1240   154.72    15.00   661.75    10.47 
    1250   159.68     8.84   661.42    10.40 
    1260   167.30     5.16   649.63    14.72 
    1270   176.06     3.31   631.76    23.89 
    1280   188.26     2.84   604.99    38.87 
    1290   202.36     3.18   566.62    60.07 
    1300   216.02     3.86   520.08    86.13 
